,date,value
0,2016-01-01,329
1,2016-01-02,399
2,2016-01-03,482
3,2016-01-04,562
4,2016-01-05,496
5,2016-01-06,488
6,2016-01-07,453
7,2016-01-08,439
8,2016-01-09,439
9,2016-01-10,483
10,2016-01-11,578
11,2016-01-12,441
12,2016-01-13,421
13,2016-01-14,396
14,2016-01-15,327
15,2016-01-16,228
16,2016-01-17,311
17,2016-01-18,341
18,2016-01-19,347
19,2016-01-20,346
20,2016-01-21,257
21,2016-01-22,275
22,2016-01-23,200
23,2016-01-24,218
24,2016-01-25,303
25,2016-01-26,308
26,2016-01-27,298
27,2016-01-28,356
28,2016-01-29,348
29,2016-01-30,278
30,2016-01-31,250
31,2016-02-01,325
32,2016-02-02,259
33,2016-02-03,259
34,2016-02-04,216
35,2016-02-05,136
36,2016-02-06,125
37,2016-02-07,102
38,2016-02-08,119
39,2016-02-09,84
40,2016-02-10,93
41,2016-02-11,118
42,2016-02-12,118
43,2016-02-13,132
44,2016-02-14,172
45,2016-02-15,273
46,2016-02-16,266
47,2016-02-17,237
48,2016-02-18,206
49,2016-02-19,228
50,2016-02-20,169
51,2016-02-21,197
52,2016-02-22,361
53,2016-02-23,308
54,2016-02-24,333
55,2016-02-25,323
56,2016-02-26,305
57,2016-02-27,221
58,2016-02-28,246
59,2016-03-01,317
60,2016-03-02,462
61,2016-03-03,526
62,2016-03-04,473
63,2016-03-05,464
64,2016-03-06,392
65,2016-03-07,439
66,2016-03-08,553
67,2016-03-09,477
68,2016-03-10,546
69,2016-03-11,488
70,2016-03-12,468
71,2016-03-13,395
72,2016-03-14,417
73,2016-03-15,495
74,2016-03-16,457
75,2016-03-17,496
76,2016-03-18,487
77,2016-03-19,381
78,2016-03-20,366
79,2016-03-21,455
80,2016-03-22,518
81,2016-03-23,448
82,2016-03-24,482
83,2016-03-25,444
84,2016-03-26,418
85,2016-03-27,340
86,2016-03-28,408
87,2016-03-29,493
88,2016-03-30,486
89,2016-03-31,492
90,2016-04-01,501
91,2016-04-02,387
92,2016-04-03,319
93,2016-04-04,307
94,2016-04-05,294
95,2016-04-06,383
96,2016-04-07,439
97,2016-04-08,447
98,2016-04-09,412
99,2016-04-10,447
100,2016-04-11,571
101,2016-04-12,507
102,2016-04-13,584
103,2016-04-14,527
104,2016-04-15,450
105,2016-04-16,405
106,2016-04-17,323
107,2016-04-18,380
108,2016-04-19,454
109,2016-04-20,441
110,2016-04-21,483
111,2016-04-22,404
112,2016-04-23,341
113,2016-04-24,305
114,2016-04-25,403
115,2016-04-26,509
116,2016-04-27,494
117,2016-04-28,425
118,2016-04-29,474
119,2016-04-30,409
120,2016-05-01,355
121,2016-05-02,402
122,2016-05-03,505
123,2016-05-04,571
124,2016-05-05,433
125,2016-05-06,448
126,2016-05-07,410
127,2016-05-08,308
128,2016-05-09,370
129,2016-05-10,452
130,2016-05-11,405
131,2016-05-12,450
132,2016-05-13,355
