date,2016,2017,2018,2019,2020,2021,2022
01-01,329,401,328,314,641,734,886
01-02,399,550,554,407,808,871,1336
01-03,482,628,513,477,802,1121,1527
01-04,562,780,414,419,583,1622,1688
01-05,496,803,425,369,637,1615,1461
01-06,488,484,333,364,695,1653,1573
01-07,453,454,375,471,646,1085,1175
01-08,439,548,462,361,573,1296,814
01-09,439,678,436,360,465,770,961
01-10,483,523,427,358,435,956,1415
01-11,578,579,353,380,311,1392,1241
01-12,441,595,312,277,306,1182,1030
01-13,421,547,203,205,361,960,1084
01-14,396,424,234,279,312,965,956
01-15,327,382,324,322,353,773,618
01-16,228,583,291,198,362,508,625
01-17,311,467,300,191,378,518,726
01-18,341,429,311,207,326,503,652
01-19,347,396,278,183,283,589,718
01-20,346,310,153,185,405,725,730
01-21,257,231,191,234,349,799,774
01-22,275,193,239,230,304,767,737
01-23,200,266,246,237,237,611,786
01-24,218,255,221,206,172,656,1207
01-25,303,234,244,227,198,787,1026
01-26,308,202,216,209,170,764,1013
01-27,298,103,148,146,226,741,958
01-28,356,101,170,140,293,735,850
01-29,348,96,243,131,324,715,717
01-30,278,116,217,126,442,698,700
01-31,250,128,210,133,407,869,475
02-01,325,177,183,168,397,847,430
02-02,259,228,168,99,387,779,434
02-03,259,196,140,121,450,694,538
02-04,216,132,126,78,472,735,539
02-05,136,152,188,84,434,670,589
02-06,125,266,200,65,418,474,636
02-07,102,260,184,76,420,460,895
02-08,119,240,170,91,384,605,822
02-09,84,264,159,83,344,502,809
02-10,93,219,108,114,445,419,966
02-11,118,158,130,180,474,288,1020
02-12,118,153,186,210,396,221,654
02-13,132,316,155,155,429,264,892
02-14,172,314,106,170,398,304,1583
02-15,273,322,69,149,327,413,1636
02-16,266,371,58,104,346,527,1699
02-17,237,314,69,139,429,677,2298
02-18,206,262,77,254,443,643,2062
02-19,228,248,88,296,422,687,1131
02-20,169,489,128,259,428,728,1349
02-21,197,464,220,288,454,810,2547
02-22,361,465,246,318,350,1365,2738
02-23,308,573,248,249,353,1655,2597
02-24,333,448,230,266,525,2020,2523
02-25,323,282,280,516,626,1944,2393
02-26,305,303,473,537,713,2296,991
02-27,221,362,480,429,717,866,980
02-28,246,468,425,346,478,864,1356
03-01,317,662,516,407,635,1306,2510
03-02,462,579,525,330,1129,1963,2604
03-03,526,410,408,459,1208,2251,2343
03-04,473,376,445,817,1176,2237,2289
03-05,464,465,597,719,1221,1916,1531
